id,yield
15289,4298.580715268163
15290,6102.783335369795
15291,7245.792191796225
15292,4968.907182173019
15293,3674.1032738626827
15294,4959.514578643751
15295,7211.353538056215
15296,6435.040946419487
15297,8374.611824653959
15298,4222.867727377546
15299,5863.275434023344
15300,5908.254288919331
15301,5529.726784889971
15302,5645.19601676047
15303,5061.734864977321
15304,4863.632236397675
15305,4843.673707030735
15306,6313.109651775947
15307,5012.00588444783
15308,5822.662961398893
15309,6181.426333185605
15310,7565.502503740225
15311,4404.361856064304
15312,5171.256567220613
15313,6390.849982976998
15314,5107.118793238313
15315,4584.00895862722
15316,7965.806739341655
15317,5652.474696802138
15318,7831.53010277931
15319,8130.955242975393
15320,6980.946222174309
15321,6602.880670542107
15322,2688.714873641399
15323,5896.753302065399
15324,2614.982257020449
15325,7127.878617319389
15326,6181.448535164797
15327,4170.594100583196
15328,7811.0461171905135
15329,7726.36375155269
15330,5149.036085137327
15331,5761.931086166242
15332,6871.14410761423
15333,6371.049422399928
15334,5592.803455987117
15335,8023.838409981774
15336,4158.555424659698
15337,7527.412666436065
15338,6157.342298811646
15339,5509.028317766443
15340,6698.787084914755
15341,5708.661452315932
15342,5351.9414237676465
15343,6701.559133371887
15344,6055.307257846241
15345,4459.861969651606
15346,6100.763460674156
15347,6263.802184783249
15348,4746.571183279458
15349,6503.386523666089
15350,4636.790836602005
15351,6086.603809255461
15352,5847.4473303662435
15353,6875.935579808402
15354,4325.067932632717
15355,4489.914731560366
15356,6061.4266849218775
15357,6175.007683083039
15358,6981.368001330687
15359,4980.068418617509
15360,4455.97361938058
15361,5644.673701411025
15362,5986.735916941893
15363,6629.322489791379
15364,5100.052443991728
15365,4492.899358813472
15366,4746.320124381177
15367,7670.896397310824
15368,4933.537153052719
15369,5880.089407952689
15370,6418.4322378900615
15371,3374.1925589965776
15372,4847.859866746152
15373,6189.529155553222
15374,5668.664922825578
15375,5481.088701899183
15376,5893.609114985995
15377,5660.8060827721465
15378,4758.126389273623
15379,6031.018453897983
15380,7351.23397256984
15381,6106.900440772785
15382,5898.040999571049
15383,7317.793590305935
15384,5198.917049998251
15385,4273.852479909893
15386,4345.404425559688
15387,4367.543828938397
15388,6770.617739569486
15389,6108.108131320533
15390,8322.9152043517
15391,6377.846366130467
15392,7237.253605771883
15393,5835.340802825389
15394,6046.694926105404
15395,5548.30695906376
15396,6891.632680632501
15397,6873.703877266813
15398,5620.516225401004
15399,5569.032188779728
15400,4832.846823993332
15401,6154.752919741664
15402,6170.66167471235
15403,6101.835039417998
15404,7201.555812339142
15405,7527.081874109097
15406,8197.403544183906
15407,5705.213140950117
15408,7607.664122141419
15409,5852.132475397587
15410,5879.553785295042
15411,8263.297048092532
15412,6662.27989504546
15413,6733.859041349232
15414,5674.952967509424
15415,5950.505702458664
15416,6924.928258469314
15417,5757.8432953963875
15418,7579.926995312835
15419,4388.305673179303
15420,4156.901676895121
15421,6300.170839575372
15422,3694.327843175325
15423,6659.58358456278
15424,6423.08586391776
15425,6955.6480023107015
15426,3824.1511508057874
15427,7584.030879918657
15428,6381.953600636199
15429,7378.87056241231
15430,6502.762127006027
15431,5273.5008090349
15432,5203.529382972305
15433,4725.670613531244
15434,8359.52410236175
15435,4007.9925530065675
15436,4706.896683490405
15437,5011.016379588342
15438,5490.180800775585
15439,7396.313899285909
15440,5442.02794262457
15441,6497.977868615401
15442,5400.481809975387
15443,4691.172603754233
15444,5751.8220807073985
15445,3596.905494470777
15446,6595.48245657677
15447,6583.379836789176
15448,7973.859262717926
15449,8151.03935387793
15450,7074.421132366882
15451,5296.580091893734
15452,4533.547385794214
15453,7464.88890666218
15454,6534.621559096098
15455,8276.957681768514
15456,6425.111177585425
15457,6346.819928002005
15458,5640.816566689783
15459,6183.7495360047915
